name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected
Auromix/ROS-LLM,"ROS-LLM is a framework designed for embodied intelligence applications in ROS. It allows natural language interactions and leverages Large Language Models (LLMs) for decision-making and robot control. With an easy configuration process, this framework allows for swift integration, enabling your robot to operate with it in as little as ten minutes.",492,Python,62,https://github.com/Auromix/ROS-LLM,2023-06-15 01:19:11+00:00,2024-10-12 17:33:59+00:00,4,ros2-humble,1,31,"['gpt', 'llm', 'ros', 'embodied-intelligence']",492,318,False,True,True,False,0,en
Maximilian-Winter/llama-cpp-agent,"The llama-cpp-agent framework is a tool designed for easy interaction with Large Language Models (LLMs). Allowing users to chat with LLM models, execute structured function calls and get structured output. Works also with models not fine-tuned to JSON output and function calls.",473,Python,42,https://github.com/Maximilian-Winter/llama-cpp-agent,2023-12-29 16:54:39+00:00,2024-10-12 19:34:47+00:00,20,master,6,526,"['agents', 'llamacpp', 'llm', 'llms', 'function-calling', 'parallel-function-call', 'llm-agent', 'llm-framework']",473,5884,False,True,True,False,62,en
adrianhajdin/project_web3_battle_game,"With a stunning design, interactive gameplay, smart wallet pairing, live interaction with smart contracts, and, most importantly, the ability to battle other players in real-time, AvaxGods is the best and the only Web3 battle-style online multiplayer card game that you can currently find on YouTube.",440,JavaScript,147,https://github.com/adrianhajdin/project_web3_battle_game,2022-10-20 09:35:57+00:00,2024-10-08 22:19:52+00:00,10,main,2,16,"['avalanche', 'blockchain', 'nft', 'solidity', 'web3']",440,16115,True,True,True,False,0,en
justinhartman/ui-ux-design-library,"A collection of free eBooks and PDFs related to UI, UX and Interaction Design.",193,,55,https://github.com/justinhartman/ui-ux-design-library,2023-02-15 11:59:23+00:00,2024-10-08 12:29:47+00:00,2,main,1,16,"['interaction-design', 'ui-design', 'usability-testing', 'ux-design', 'books', 'ebooks', 'library-free', 'mobile-design', 'web-design']",193,850656,True,True,True,False,0,en
huuck/ADBHoney,Low interaction honeypot designed for Android Debug Bridge over TCP/IP,159,Python,33,https://github.com/huuck/ADBHoney,2018-11-15 20:12:14+00:00,2024-09-21 11:32:25+00:00,4,master,7,82,[],159,96,True,True,True,False,2,en
hydrogram/hydrogram,"Sleek, advanced, and asynchronous Telegram MTProto API framework in Python, designed for fluid user and bot interactions. ",134,Python,29,https://github.com/hydrogram/hydrogram,2023-10-29 16:16:37+00:00,2024-10-06 16:24:18+00:00,10,dev,128,4255,"['async', 'asynchronous', 'asyncio', 'bot-api', 'client', 'framework', 'library', 'mtproto', 'python', 'python-library', 'telegram', 'telegram-api', 'hydrogram', 'pyrogram']",134,8469,False,True,True,False,6,en
eltos/SimpleDialogFragments,"An Android library to create dialogs with ease and handle user interaction reliably, using fragments and material design.",119,Java,17,https://github.com/eltos/SimpleDialogFragments,2017-01-01 15:28:48+00:00,2024-06-25 13:37:40+00:00,0,main,6,488,"['android', 'dialogs', 'library', 'material-design', 'easy-to-use', 'dialog', 'fragments', 'color-picker', 'android-library', 'java']",119,122750,True,False,True,True,22,en
sir-temi/pykuda,"PyKuda is a Python package designed to simplify interactions with financial APIs, enabling developers to integrate banking services effortlessly into their applications. Leveraging secure authentication through API keys and tokens, PyKuda ensures efficient and reliable financial transactions.",100,Python,105,https://github.com/sir-temi/pykuda,2022-08-21 10:58:57+00:00,2024-09-29 18:50:51+00:00,4,main,14,106,[],100,114,True,True,True,False,0,en
IBM-Design/ios-animations,"As you pull the code from this repository, get inspired by the IBM Design Language animation guidelines. Remember: thoughtfully applied animation should be straightforward, limited to the most important interactions on the screen and helping users in delightful ways as they interact.",93,Swift,22,https://github.com/IBM-Design/ios-animations,2015-06-16 15:54:48+00:00,2024-06-26 23:31:29+00:00,5,master,3,5,[],93,442,True,True,True,False,0,en
DjangoPeng/agent-hub,"This repository is a hub for AI Agent projects, including GitHub Sentinel, LanguageMentor, and ChatPPT, designed to enhance enterprise workflows, language learning, and multimodal interaction. Explore a growing family of agents geared towards revolutionizing various industries with cutting-edge AI solutions.",89,Shell,69,https://github.com/DjangoPeng/agent-hub,2024-08-14 07:05:23+00:00,2024-10-11 13:52:00+00:00,0,main,1,20,[],89,35,True,True,True,False,0,en
Luidog/fms-api-client,A FileMaker Server Data API client designed to allow interaction with a FileMaker database from a web environment.,84,JavaScript,26,https://github.com/Luidog/fms-api-client,2018-03-30 14:15:41+00:00,2024-03-19 06:55:27+00:00,32,master,3,586,"['filemaker', 'data-api', 'marpat']",84,4847,True,True,True,True,49,en
Ansarimajid/College-ERP,"SIGCE College Enterprise Resource Planner (ERP) web application, developed for the interaction between students, staff, and the admin (HoD) of our college, SIGCE. The  application is designed to streamline and automate various processes within the college,.",73,JavaScript,25,https://github.com/Ansarimajid/College-ERP,2022-10-02 06:51:54+00:00,2024-10-08 12:46:03+00:00,4,main,2,93,"['college-erp', 'college-management-system', 'college-project', 'cse-project', 'django', 'python', 'django-project']",73,20671,True,True,True,False,2,en
