plugins-ui,Frequência,Descrição,É UI?
@types/react-test-renderer,35,@types/react-test-renderer: Um pacote que fornece definições de tipos para a biblioteca React Test Renderer.,1
chai,35,"ChaiUI é um modelo de interface de usuário de código aberto, abrangente e fácil de usar (desenvolvido pelo TailwindCSS), projetado para aumentar sua produtividade como aluno.",1
prismjs,34,,0
karma,34,,0
release-it,34,,0
classnames,33,,0
vue-loader,33,,0
webpack-merge,33,,0
redux,33,,0
dotenv,32,,0
date-fns,32,,0
next,32,,0
shelljs,32,,0
@storybook/react,31,,0
eslint-plugin-jest,31,,0
stylelint-config-standard,31,,0
@vitejs/plugin-vue,31,,0
less,31,,0
@react-native-community/eslint-config,31,,0
@rollup/plugin-replace,31,,0
node-sass,31,,0
ts-loader,30,,0
uuid,30,,0
gh-pages,29,,0
esbuild,29,,0
mini-css-extract-plugin,29,,0
del,29,,0
bootstrap,29,,0
gulp-rename,28,,0
karma-chrome-launcher,28,,0
eslint-config-standard,28,,0
minimist,27,,0
@vue/test-utils,27,,0
@babel/eslint-parser,27,,0
enzyme,27,,0
babel-preset-es2015,27,,0
@storybook/addon-essentials,26,,0
@emotion/react,26,,0
metro-react-native-babel-preset,26,,0
rxjs,26,,0
rollup-plugin-terser,26,,0
@types/fs-extra,25,,0
terser-webpack-plugin,25,,0
babel-preset-env,25,,0
commitlint,25,,0
@vitejs/plugin-react,25,,0
react-native-gesture-handler,25,,0
ora,24,,0
conventional-changelog-cli,24,,0
cypress,24,,0
framer-motion,24,,0
eslint-loader,24,,0
extract-text-webpack-plugin,24,,0
@emotion/styled,24,,0
react-navigation,24,,0
@storybook/addon-links,23,,0
jquery,23,,0
storybook,23,,0
cssnano,23,,0
eslint-config-next,23,,0
babel-cli,23,,0
highlight.js,23,,0
react-native-reanimated,23,,0
tsx,22,,0
prettier-plugin-tailwindcss,22,,0
pretty-quick,22,,0
vue-style-loader,22,,0
karma-coverage,22,,0
eslint-plugin-node,22,,0
eslint-import-resolver-typescript,22,,0
flow-bin,22,,0
jasmine-core,21,,0
babel-plugin-transform-runtime,21,,0
inquirer,21,,0
@popperjs/core,21,,0
@release-it/conventional-changelog,21,,0
nodemon,20,,0
styled-components,20,,0
@testing-library/dom,20,,0
node-fetch,20,,0
puppeteer,20,,0
typedoc,20,,0
@babel/plugin-proposal-object-rest-spread,20,,0
marked,20,,0
mkdirp,20,,0
eslint-plugin-flowtype,20,,0
clsx,20,,0
@angular/core,20,,0
gulp-sass,20,,0
react-transition-group,20,,0
@rollup/plugin-json,20,,0
@react-navigation/native,20,,0
react-native-safe-area-context,20,,0
babel-preset-react-native,20,,0
@storybook/addon-actions,19,,0
browser-sync,19,,0
raw-loader,19,,0
@angular/common,19,,0
@angular/forms,19,,0
@angular/platform-browser,19,,0
@angular/router,19,,0
babel-register,19,,0
react-router,19,,0
react-icons,19,,0
yargs,18,,0
eslint-plugin-html,18,,0
@types/jasmine,18,,0
karma-jasmine,18,,0
eslint-config-react-app,18,,0
tsup,18,,0
@angular/cli,18,,0
@angular/compiler,18,,0
@angular/compiler-cli,18,,0
@angular/platform-browser-dynamic,18,,0
zone.js,18,,0
babel-preset-stage-2,18,,0
postcss-import,18,,0
rollup-plugin-node-resolve,18,,0
@babel/register,18,,0
@rollup/plugin-typescript,18,,0
@rollup/plugin-terser,18,,0
deepmerge,18,,0
commitizen,18,,0
optimize-css-assets-webpack-plugin,18,,0
webpack-dev-middleware,18,,0
webpack-hot-middleware,18,,0
@vitest/coverage-v8,18,,0
@rollup/plugin-alias,18,,0
react-native-screens,18,,0
electron,18,,0
fast-glob,17,,0
gulp-sourcemaps,17,,0
vue-tsc,17,,0
tslint,17,,0
@babel/plugin-proposal-decorators,17,,0
tailwind-merge,17,,0
rollup-plugin-babel,17,,0
rollup-plugin-commonjs,17,,0
eslint-plugin-standard,17,,0
semantic-release,17,,0
@vue/compiler-sfc,17,,0
babel-preset-react,17,,0
cz-conventional-changelog,17,,0
less-loader,16,,0
coveralls,16,,0
zod,16,,0
@angular-devkit/build-angular,16,,0
eslint-plugin-jsdoc,16,,0
enzyme-adapter-react-16,16,,0
@playwright/test,16,,0
friendly-errors-webpack-plugin,16,,0
@tailwindcss/forms,16,,0
eslint-plugin-unused-imports,16,,0
redux-thunk,16,,0
babel-preset-stage-0,16,,0
hoist-non-react-statics,16,,0
@changesets/changelog-github,15,,0
jest-canvas-mock,15,,0
@swc/core,15,,0
lodash-es,15,,0
commander,15,,0
tinycolor2,15,,0
vue-i18n,15,,0
karma-webpack,15,,0
stylelint-scss,15,,0
execa,15,,0
gulp-clean-css,15,,0
react-is,15,,0
@testing-library/react-hooks,15,,0
connect-history-api-fallback,15,,0
http-proxy-middleware,15,,0
react-native-vector-icons,15,,0
nyc,15,,0
@mui/material,15,,0
babel-polyfill,15,,0
standard-version,15,,0
patch-package,14,,0
remark-gfm,14,,0
gulp-replace,14,,0
@angular/animations,14,,0
rollup-plugin-postcss,14,,0
rollup-plugin-replace,14,,0
gulp-autoprefixer,14,,0
eslint-plugin-n,14,,0
vite-plugin-dts,14,,0
sinon-chai,14,,0
rollup-plugin-typescript2,14,,0
popper.js,14,,0
all-contributors-cli,14,,0
@react-navigation/stack,14,,0
expo,14,,0
karma-mocha,14,,0
babel-plugin-module-resolver,14,,0
php,13,,0
size-limit,13,,0
@babel/plugin-proposal-optional-chaining,13,,0
@babel/plugin-syntax-dynamic-import,13,,0
codecov,13,,0
stylelint-config-prettier,13,,0
vuex,13,,0
karma-sourcemap-loader,13,,0
chart.js,13,,0
react-native-svg,13,,0
lucide-react,13,,0
react-hook-form,13,,0
@tailwindcss/typography,13,,0
tailwindcss-animate,13,,0
karma-jasmine-html-reporter,13,,0
enzyme-to-json,13,,0
prettier-plugin-svelte,13,,0
eslint-config-airbnb-base,13,,0
postcss-cli,13,,0
react-dropzone,13,,0
@types/uuid,13,,0
react-native-builder-bob,13,,0
happy-dom,13,,0
@semantic-release/git,13,,0
nx,13,,0
web-vitals,13,,0
js-yaml,13,,0
chokidar,13,,0
json-loader,13,,0
uglify-js,13,,0
copyfiles,12,,0
@biomejs/biome,12,,0
@types/semver,12,,0
sharp,12,,0
@vue/eslint-config-typescript,12,,0
babel-plugin-istanbul,12,,0
globby,12,,0
markdown-it,12,,0
through2,12,,0
eslint-plugin-storybook,12,,0
@storybook/addon-interactions,12,,0
lodash.debounce,12,,0
babel-runtime,12,,0
babel-plugin-syntax-jsx,12,,0
babel-plugin-transform-vue-jsx,12,,0
@types/enzyme,12,,0
eventsource-polyfill,12,,0
html-loader,12,,0
svelte,12,,0
@types/react-transition-group,12,,0
mobx,12,,0
electron-builder,12,,0
@react-navigation/bottom-tabs,12,,0
terser,11,,0
gulp-less,11,,0
resize-observer-polyfill,11,,0
async-validator,11,,0
@babel/plugin-proposal-export-default-from,11,,0
@vue/cli-plugin-eslint,11,,0
@vueuse/core,11,,0
start-server-and-test,11,,0
@types/mocha,11,,0
pinia,11,,0
eslint-plugin-react-native,11,,0
@radix-ui/react-dialog,11,,0
class-variance-authority,11,,0
next-themes,11,,0
@angular/cdk,11,,0
@storybook/addon-a11y,11,,0
protractor,11,,0
eslint-plugin-babel,11,,0
eslint-plugin-simple-import-sort,11,,0
eslint-friendly-formatter,11,,0
gulp-util,11,,0
opn,11,,0
eslint-import-resolver-webpack,11,,0
recharts,11,,0
react-markdown,11,,0
rollup-plugin-copy,11,,0
@vitest/ui,11,,0
@types/express,11,,0
babel-plugin-transform-decorators-legacy,11,,0
react-native-web,11,,0
clean-webpack-plugin,11,,0
history,11,,0
redux-logger,11,,0
@vue/cli-plugin-babel,11,,0
@storybook/addon-docs,11,,0
@antfu/eslint-config,10,,0
@types/jsdom,10,,0
eslint-plugin-react-refresh,10,,0
http-server,10,,0
identity-obj-proxy,10,,0
regenerator-runtime,10,,0
@types/lodash-es,10,,0
@vue/eslint-config-prettier,10,,0
@types/eslint,10,,0
@storybook/blocks,10,,0
@radix-ui/react-label,10,,0
@radix-ui/react-slot,10,,0
@angular/language-service,10,,0
jasmine-spec-reporter,10,,0
ng-packagr,10,,0
@mdx-js/react,10,,0
chromatic,10,,0
babel-helper-vue-jsx-merge-props,10,,0
rollup-plugin-uglify,10,,0
@eslint/js,10,,0
globals,10,,0
simple-git-hooks,10,,0
codelyzer,10,,0
@hookform/resolvers,10,,0
font-awesome,10,,0
@types/styled-components,10,,0
@babel/plugin-transform-modules-commonjs,10,,0
pod-install,10,,0
gulp-concat,10,,0
fuse.js,10,,0
@vue/cli-service,10,,0
@types/testing-library__jest-dom,10,,0
@testing-library/react-native,10,,0
@octokit/rest,9,,0
@stackblitz/sdk,9,,0
@types/jquery,9,,0
cheerio,9,,0
remark,9,,0
csstype,9,,0
eslint-plugin-markdown,9,,0
gray-matter,9,,0
gulp-babel,9,,0
gulp-typescript,9,,0
stylelint-order,9,,0
@babel/types,9,,0
@floating-ui/dom,9,,0
serve,9,,0
@radix-ui/react-dropdown-menu,9,,0
eslint-plugin-tailwindcss,9,,0
react-helmet,9,,0
svgo,9,,0
vue-jest,9,,0
gulp-uglify,9,,0
eslint-plugin-testing-library,9,,0
postcss-preset-env,9,,0
rollup-plugin-visualizer,9,,0
cross-spawn,9,,0
eslint-config-airbnb-typescript,9,,0
query-string,9,,0
color,9,,0
clipboard,9,,0
@material-ui/core,9,,0
react-color,9,,0
@chakra-ui/react,9,,0
vite-tsconfig-paths,9,,0
@semantic-release/changelog,9,,0
@react-navigation/drawer,9,,0
@fortawesome/free-solid-svg-icons,9,,0
babel-plugin-transform-react-remove-prop-types,9,,0
@types/chai,9,,0
body-parser,9,,0
@storybook/theming,9,,0
yup,9,,0
mobx-react,9,,0
@react-native-community/bob,9,,0
@faker-js/faker,9,,0
shx,9,,0
karma-sinon-chai,9,,0
@ianvs/prettier-plugin-sort-imports,8,,0
nprogress,8,,0
gulp-postcss,8,,0
@swc/jest,8,,0
codesandbox,8,,0
css-minimizer-webpack-plugin,8,,0
@types/glob,8,,0
jasmine,8,,0
karma-firefox-launcher,8,,0
@storybook/react-webpack5,8,,0
plop,8,,0
@types/gulp,8,,0
@heroicons/react,8,,0
@radix-ui/react-tabs,8,,0
cmdk,8,,0
@angular-devkit/schematics,8,,0
@angular-eslint/eslint-plugin,8,,0
@angular/platform-server,8,,0
gulp-clean,8,,0
karma-spec-reporter,8,,0
react-dnd,8,,0
react-dnd-html5-backend,8,,0
wait-on,8,,0
@actions/core,8,,0
pre-commit,8,,0
browserify,8,,0
handlebars,8,,0
playwright,8,,0
axe-core,8,,0
zustand,8,,0
@trivago/prettier-plugin-sort-imports,8,,0
@fortawesome/fontawesome-free,8,,0
lodash.isequal,8,,0
@expo/vector-icons,8,,0
@vercel/analytics,8,,0
jest-junit,8,,0
jsonwebtoken,8,,0
echarts,8,,0
raf,8,,0
react-hot-loader,8,,0
gulp-plumber,8,,0
minimatch,8,,0
@react-native-async-storage/async-storage,8,,0
karma-mocha-reporter,8,,0
cors,8,,0
typescript-eslint,8,,0
@fortawesome/fontawesome-svg-core,8,,0
jszip,8,,0
babel-plugin-add-module-exports,8,,0
reflect-metadata,8,,0
babel-plugin-transform-class-properties,8,,0
formik,8,,0
pug,8,,0
enquirer,8,,0
phpunit/phpunit,7,,0
postinstall-postinstall,7,,0
@ctrl/tinycolor,7,,0
copy-to-clipboard,7,,0
@types/prismjs,7,,0
eslint-plugin-compat,7,,0
isomorphic-fetch,7,,0
mockdate,7,,0
react-intersection-observer,7,,0
@babel/plugin-proposal-export-namespace-from,7,,0
@vitejs/plugin-vue-jsx,7,,0
vue-eslint-parser,7,,0
uglifyjs-webpack-plugin,7,,0
@storybook/addon-storysource,7,,0
@testing-library/cypress,7,,0
eslint-plugin-cypress,7,,0
@open-wc/testing,7,,0
@web/test-runner,7,,0
@radix-ui/react-popover,7,,0
@radix-ui/react-toast,7,,0
@radix-ui/react-tooltip,7,,0
sonner,7,,0
unist-util-visit,7,,0
@angular-devkit/core,7,,0
monaco-editor,7,,0
postcss-url,7,,0
@types/jasminewd2,7,,0
@babel/node,7,,0
@next/eslint-plugin-next,7,,0
clean-css,7,,0
mime-types,7,,0
portfinder,7,,0
rollup-plugin-vue,7,,0
@babel/runtime-corejs3,7,,0
antd,7,,0
consola,7,,0
lodash.merge,7,,0
compression-webpack-plugin,7,,0
svelte-check,7,,0
react-popper,7,,0
@mdx-js/loader,7,,0
quill,7,,0
@material-ui/icons,7,,0
redux-persist,7,,0
@types/react-redux,7,,0
@babel/plugin-proposal-nullish-coalescing-operator,7,,0
@wojtekmaj/enzyme-adapter-react-17,7,,0
@storybook/react-vite,7,,0
rollup-plugin-peer-deps-external,7,,0
source-map-loader,7,,0
nouislider,7,,0
gulp-if,7,,0
stylelint-config-standard-scss,7,,0
three,7,,0
dotenv-cli,7,,0
react-refresh,7,,0
ejs,7,,0
js-cookie,7,,0
postcss-scss,7,,0
file-saver,7,,0
@storybook/builder-webpack5,7,,0
@storybook/manager-api,7,,0
cookie-parser,7,,0
morgan,7,,0
grunt,7,,0
grunt-contrib-watch,7,,0
@reduxjs/toolkit,7,,0
@mui/icons-material,7,,0
@types/hoist-non-react-statics,7,,0
react-native-navigation,7,,0
@react-navigation/native-stack,7,,0
react-native-animatable,7,,0
rollup-plugin-dts,7,,0
svelte-preprocess,7,,0
rollup-plugin-esbuild,7,,0
@ant-design/icons,6,,0
node-notifier,6,,0
simple-git,6,,0
gulp-header,6,,0
warning,6,,0
@babel/polyfill,6,,0
acorn,6,,0
case-sensitive-paths-webpack-plugin,6,,0
jest-serializer-vue,6,,0
markdown-it-anchor,6,,0
markdown-it-container,6,,0
webpackbar,6,,0
@storybook/test,6,,0
cypress-real-events,6,,0
jest-watch-typeahead,6,,0
@custom-elements-manifest/analyzer,6,,0
@tsconfig/react-native,6,,0
@radix-ui/react-accordion,6,,0
@radix-ui/react-avatar,6,,0
@radix-ui/react-icons,6,,0
@radix-ui/react-scroll-area,6,,0
@radix-ui/react-switch,6,,0
react-day-picker,6,,0
@angular-eslint/builder,6,,0
@angular-eslint/eslint-plugin-template,6,,0
@angular-eslint/schematics,6,,0
@angular-eslint/template-parser,6,,0
eslint-plugin-prefer-arrow,6,,0
memoize-one,6,,0
normalize.css,6,,0
@actions/github,6,,0
jest-cli,6,,0
firebase,6,,0
@eslint/eslintrc,6,,0
yorkie,6,,0
@types/prettier,6,,0
eslint-plugin-json,6,,0
i18next,6,,0
@next/mdx,6,,0
np,6,,0
publint,6,,0
@radix-ui/react-select,6,,0
react-syntax-highlighter,6,,0
@storybook/addon-mdx-gfm,6,,0
@types/estree,6,,0
esbuild-register,6,,0
@vercel/speed-insights,6,,0
rollup-plugin-svelte,6,,0
@storybook/components,6,,0
sort-package-json,6,,0
codemirror,6,,0
expo-status-bar,6,,0
colors,6,,0
postcss-html,6,,0
replace-in-file,6,,0
preact,6,,0
@fortawesome/react-fontawesome,6,,0
@pmmmwh/react-refresh-webpack-plugin,6,,0
nock,6,,0
sortablejs,6,,0
react-addons-test-utils,6,,0
obsidian,6,,0
ajv,6,,0
@vue/cli-plugin-unit-jest,6,,0
@vue/eslint-config-standard,6,,0
@types/sinon,6,,0
crypto-js,6,,0
babel-plugin-dynamic-import-node,6,,0
mitt,6,,0
path,6,,0
babel,6,,0
multer,6,,0
invariant,6,,0
object-assign,6,,0
@storybook/manager-webpack5,6,,0
compression,6,,0
jwt-decode,6,,0
@types/enzyme-adapter-react-16,6,,0
@types/webpack-env,6,,0
@react-native-community/netinfo,6,,0
@tanstack/react-query,6,,0
@babel/plugin-proposal-private-property-in-object,6,,0
@size-limit/preset-small-lib,6,,0
@mui/lab,6,,0
eslint-config-satya164,6,,0
@react-native-community/masked-view,6,,0
karma-phantomjs-launcher,6,,0
vuedraggable,6,,0
@babel/preset-flow,6,,0
lolex,6,,0
apexcharts,6,,0
@emotion/cache,6,,0
react-docgen-typescript,5,,0
react-live,5,,0
rc-util,5,,0
@emotion/server,5,,0
@types/jest-axe,5,,0
lz-string,5,,0
pngjs,5,,0
react-draggable,5,,0
@babel/plugin-transform-typescript,5,,0
babel-plugin-import,5,,0
compare-versions,5,,0
escape-html,5,,0
less-plugin-npm-import,5,,0
remark-frontmatter,5,,0
stylelint-config-rational-order,5,,0
@babel/traverse,5,,0
@types/resize-observer-browser,5,,0
eslint-config-google,5,,0
lit,5,,0
@11ty/eleventy,5,,0
change-case,5,,0
@storybook/testing-library,5,,0
@types/lodash.merge,5,,0
@radix-ui/react-separator,5,,0
ts-morph,5,,0
shiki,5,,0
@angular/ssr,5,,0
@schematics/angular,5,,0
eslint-plugin-header,5,,0
@types/react-window,5,,0
debug,5,,0
re-resizable,5,,0
react-intl,5,,0
@types/react-router-dom,5,,0
progress-bar-webpack-plugin,5,,0
postcss-modules,5,,0
moment-timezone,5,,0
postcss-less,5,,0
@babel/plugin-transform-react-jsx,5,,0
autosize,5,,0
@babel/parser,5,,0
babel-plugin-transform-object-rest-spread,5,,0
fastclick,5,,0
inject-loader,5,,0
yarn,5,,0
polished,5,,0
react-i18next,5,,0
@radix-ui/react-progress,5,,0
