project_name,Frequência,Descrição,is_ui
vue-style-loader,22,,False
karma-coverage,22,,False
eslint-plugin-node,22,,False
eslint-import-resolver-typescript,22,,False
flow-bin,22,,False
jasmine-core,21,,False
babel-plugin-transform-runtime,21,,False
inquirer,21,,False
@popperjs/core,21,,False
@release-it/conventional-changelog,21,,False
nodemon,20,,False
styled-components,20,,False
@testing-library/dom,20,,False
node-fetch,20,,False
puppeteer,20,,False
typedoc,20,,False
@babel/plugin-proposal-object-rest-spread,20,,False
marked,20,,False
mkdirp,20,,False
eslint-plugin-flowtype,20,,False
clsx,20,,False
@angular/core,20,,False
gulp-sass,20,,False
react-transition-group,20,,False
@rollup/plugin-json,20,,False
@react-navigation/native,20,,False
react-native-safe-area-context,20,,False
babel-preset-react-native,20,,False
@storybook/addon-actions,19,,False
browser-sync,19,,False
raw-loader,19,,False
@angular/common,19,,False
@angular/forms,19,,False
@angular/platform-browser,19,,False
@angular/router,19,,False
babel-register,19,,False
react-router,19,,False
react-icons,19,,False
yargs,18,,False
eslint-plugin-html,18,,False
@types/jasmine,18,,False
karma-jasmine,18,,False
eslint-config-react-app,18,,False
tsup,18,,False
@angular/cli,18,,False
@angular/compiler,18,,False
@angular/compiler-cli,18,,False
@angular/platform-browser-dynamic,18,,False
zone.js,18,,False
babel-preset-stage-2,18,,False
postcss-import,18,,False
rollup-plugin-node-resolve,18,,False
@babel/register,18,,False
@rollup/plugin-typescript,18,,False
@rollup/plugin-terser,18,,False
deepmerge,18,,False
commitizen,18,,False
optimize-css-assets-webpack-plugin,18,,False
webpack-dev-middleware,18,,False
webpack-hot-middleware,18,,False
@vitest/coverage-v8,18,,False
@rollup/plugin-alias,18,,False
react-native-screens,18,,False
electron,18,,False
fast-glob,17,,False
gulp-sourcemaps,17,,False
vue-tsc,17,,False
tslint,17,,False
@babel/plugin-proposal-decorators,17,,False
tailwind-merge,17,,False
rollup-plugin-babel,17,,False
rollup-plugin-commonjs,17,,False
eslint-plugin-standard,17,,False
semantic-release,17,,False
@vue/compiler-sfc,17,,False
babel-preset-react,17,,False
cz-conventional-changelog,17,,False
less-loader,16,,False
coveralls,16,,False
zod,16,,False
@angular-devkit/build-angular,16,,False
eslint-plugin-jsdoc,16,,False
enzyme-adapter-react-16,16,,False
@playwright/test,16,,False
friendly-errors-webpack-plugin,16,,False
@tailwindcss/forms,16,,False
eslint-plugin-unused-imports,16,,False
redux-thunk,16,,False
babel-preset-stage-0,16,,False
hoist-non-react-statics,16,,False
@changesets/changelog-github,15,,False
jest-canvas-mock,15,,False
@swc/core,15,,False
lodash-es,15,,False
commander,15,,False
tinycolor2,15,,False
vue-i18n,15,,False
karma-webpack,15,,False
stylelint-scss,15,,False
execa,15,,False
gulp-clean-css,15,,False
react-is,15,,False
@testing-library/react-hooks,15,,False
connect-history-api-fallback,15,,False
http-proxy-middleware,15,,False
react-native-vector-icons,15,,False
nyc,15,,False
@mui/material,15,,False
babel-polyfill,15,,False
standard-version,15,,False
patch-package,14,,False
remark-gfm,14,,False
gulp-replace,14,,False
@angular/animations,14,,False
rollup-plugin-postcss,14,,False
rollup-plugin-replace,14,,False
gulp-autoprefixer,14,,False
eslint-plugin-n,14,,False
vite-plugin-dts,14,,False
sinon-chai,14,,False
rollup-plugin-typescript2,14,,False
popper.js,14,,False
all-contributors-cli,14,,False
@react-navigation/stack,14,,False
expo,14,,False
karma-mocha,14,,False
babel-plugin-module-resolver,14,,False
php,13,,False
size-limit,13,,False
@babel/plugin-proposal-optional-chaining,13,,False
@babel/plugin-syntax-dynamic-import,13,,False
codecov,13,,False
stylelint-config-prettier,13,,False
vuex,13,,False
karma-sourcemap-loader,13,,False
chart.js,13,,False
react-native-svg,13,,False
lucide-react,13,,False
react-hook-form,13,,False
@tailwindcss/typography,13,,False
tailwindcss-animate,13,,False
karma-jasmine-html-reporter,13,,False
enzyme-to-json,13,,False
prettier-plugin-svelte,13,,False
eslint-config-airbnb-base,13,,False
postcss-cli,13,,False
react-dropzone,13,,False
@types/uuid,13,,False
react-native-builder-bob,13,,False
happy-dom,13,,False
@semantic-release/git,13,,False
nx,13,,False
web-vitals,13,,False
js-yaml,13,,False
chokidar,13,,False
json-loader,13,,False
uglify-js,13,,False
copyfiles,12,,False
@biomejs/biome,12,,False
@types/semver,12,,False
sharp,12,,False
@vue/eslint-config-typescript,12,,False
babel-plugin-istanbul,12,,False
globby,12,,False
markdown-it,12,,False
through2,12,,False
eslint-plugin-storybook,12,,False
@storybook/addon-interactions,12,,False
lodash.debounce,12,,False
babel-runtime,12,,False
babel-plugin-syntax-jsx,12,,False
babel-plugin-transform-vue-jsx,12,,False
@types/enzyme,12,,False
eventsource-polyfill,12,,False
html-loader,12,,False
svelte,12,,False
@types/react-transition-group,12,,False
mobx,12,,False
electron-builder,12,,False
@react-navigation/bottom-tabs,12,,False
terser,11,,False
gulp-less,11,,False
resize-observer-polyfill,11,,False
async-validator,11,,False
@babel/plugin-proposal-export-default-from,11,,False
@vue/cli-plugin-eslint,11,,False
@vueuse/core,11,,False
start-server-and-test,11,,False
@types/mocha,11,,False
pinia,11,,False
eslint-plugin-react-native,11,,False
@radix-ui/react-dialog,11,,False
class-variance-authority,11,,False
next-themes,11,,False
@angular/cdk,11,,False
@storybook/addon-a11y,11,,False
protractor,11,,False
eslint-plugin-babel,11,,False
eslint-plugin-simple-import-sort,11,,False
eslint-friendly-formatter,11,,False
gulp-util,11,,False
opn,11,,False
eslint-import-resolver-webpack,11,,False
recharts,11,,False
react-markdown,11,,False
rollup-plugin-copy,11,,False
@vitest/ui,11,,False
@types/express,11,,False
babel-plugin-transform-decorators-legacy,11,,False
react-native-web,11,,False
clean-webpack-plugin,11,,False
history,11,,False
redux-logger,11,,False
@vue/cli-plugin-babel,11,,False
@storybook/addon-docs,11,,False
@antfu/eslint-config,10,,False
@types/jsdom,10,,False
eslint-plugin-react-refresh,10,,False
http-server,10,,False
identity-obj-proxy,10,,False
regenerator-runtime,10,,False
@types/lodash-es,10,,False
@vue/eslint-config-prettier,10,,False
@types/eslint,10,,False
@storybook/blocks,10,,False
@radix-ui/react-label,10,,False
@radix-ui/react-slot,10,,False
@angular/language-service,10,,False
jasmine-spec-reporter,10,,False
ng-packagr,10,,False
@mdx-js/react,10,,False
chromatic,10,,False
babel-helper-vue-jsx-merge-props,10,,False
rollup-plugin-uglify,10,,False
@eslint/js,10,,False
globals,10,,False
simple-git-hooks,10,,False
codelyzer,10,,False
@hookform/resolvers,10,,False
font-awesome,10,,False
@types/styled-components,10,,False
@babel/plugin-transform-modules-commonjs,10,,False
pod-install,10,,False
gulp-concat,10,,False
fuse.js,10,,False
@vue/cli-service,10,,False
@types/testing-library__jest-dom,10,,False
@testing-library/react-native,10,,False
@octokit/rest,9,,False
@stackblitz/sdk,9,,False
@types/jquery,9,,False
cheerio,9,,False
remark,9,,False
csstype,9,,False
eslint-plugin-markdown,9,,False
gray-matter,9,,False
gulp-babel,9,,False
gulp-typescript,9,,False
stylelint-order,9,,False
@babel/types,9,,False
@floating-ui/dom,9,,False
serve,9,,False
@radix-ui/react-dropdown-menu,9,,False
eslint-plugin-tailwindcss,9,,False
react-helmet,9,,False
svgo,9,,False
vue-jest,9,,False
gulp-uglify,9,,False
eslint-plugin-testing-library,9,,False
postcss-preset-env,9,,False
rollup-plugin-visualizer,9,,False
cross-spawn,9,,False
eslint-config-airbnb-typescript,9,,False
query-string,9,,False
color,9,,False
clipboard,9,,False
@material-ui/core,9,,False
react-color,9,,False
@chakra-ui/react,9,,False
vite-tsconfig-paths,9,,False
@semantic-release/changelog,9,,False
@react-navigation/drawer,9,,False
@fortawesome/free-solid-svg-icons,9,,False
babel-plugin-transform-react-remove-prop-types,9,,False
@types/chai,9,,False
body-parser,9,,False
@storybook/theming,9,,False
yup,9,,False
mobx-react,9,,False
@react-native-community/bob,9,,False
@faker-js/faker,9,,False
shx,9,,False
karma-sinon-chai,9,,False
@ianvs/prettier-plugin-sort-imports,8,,False
nprogress,8,,False
gulp-postcss,8,,False
@swc/jest,8,,False
codesandbox,8,,False
css-minimizer-webpack-plugin,8,,False
@types/glob,8,,False
jasmine,8,,False
karma-firefox-launcher,8,,False
@storybook/react-webpack5,8,,False
plop,8,,False
@types/gulp,8,,False
@heroicons/react,8,,False
@radix-ui/react-tabs,8,,False
cmdk,8,,False
@angular-devkit/schematics,8,,False
@angular-eslint/eslint-plugin,8,,False
@angular/platform-server,8,,False
gulp-clean,8,,False
karma-spec-reporter,8,,False
react-dnd,8,,False
react-dnd-html5-backend,8,,False
wait-on,8,,False
@actions/core,8,,False
pre-commit,8,,False
browserify,8,,False
handlebars,8,,False
playwright,8,,False
axe-core,8,,False
zustand,8,,False
@trivago/prettier-plugin-sort-imports,8,,False
@fortawesome/fontawesome-free,8,,False
lodash.isequal,8,,False
@expo/vector-icons,8,,False
@vercel/analytics,8,,False
jest-junit,8,,False
jsonwebtoken,8,,False
echarts,8,,False
raf,8,,False
react-hot-loader,8,,False
gulp-plumber,8,,False
minimatch,8,,False
@react-native-async-storage/async-storage,8,,False
karma-mocha-reporter,8,,False
cors,8,,False
typescript-eslint,8,,False
@fortawesome/fontawesome-svg-core,8,,False
jszip,8,,False
babel-plugin-add-module-exports,8,,False
reflect-metadata,8,,False
babel-plugin-transform-class-properties,8,,False
formik,8,,False
pug,8,,False
enquirer,8,,False
phpunit/phpunit,7,,False
postinstall-postinstall,7,,False
@ctrl/tinycolor,7,,False
copy-to-clipboard,7,,False
@types/prismjs,7,,False
eslint-plugin-compat,7,,False
isomorphic-fetch,7,,False
mockdate,7,,False
react-intersection-observer,7,,False
@babel/plugin-proposal-export-namespace-from,7,,False
@vitejs/plugin-vue-jsx,7,,False
vue-eslint-parser,7,,False
uglifyjs-webpack-plugin,7,,False
@storybook/addon-storysource,7,,False
@testing-library/cypress,7,,False
eslint-plugin-cypress,7,,False
@open-wc/testing,7,,False
@web/test-runner,7,,False
@radix-ui/react-popover,7,,False
@radix-ui/react-toast,7,,False
@radix-ui/react-tooltip,7,,False
sonner,7,,False
unist-util-visit,7,,False
@angular-devkit/core,7,,False
monaco-editor,7,,False
postcss-url,7,,False
@types/jasminewd2,7,,False
@babel/node,7,,False
@next/eslint-plugin-next,7,,False
clean-css,7,,False
mime-types,7,,False
portfinder,7,,False
rollup-plugin-vue,7,,False
@babel/runtime-corejs3,7,,False
antd,7,,False
consola,7,,False
lodash.merge,7,,False
compression-webpack-plugin,7,,False
svelte-check,7,,False
react-popper,7,,False
@mdx-js/loader,7,,False
quill,7,,False
@material-ui/icons,7,,False
redux-persist,7,,False
@types/react-redux,7,,False
@babel/plugin-proposal-nullish-coalescing-operator,7,,False
@wojtekmaj/enzyme-adapter-react-17,7,,False
@storybook/react-vite,7,,False
rollup-plugin-peer-deps-external,7,,False
source-map-loader,7,,False
nouislider,7,,False
gulp-if,7,,False
stylelint-config-standard-scss,7,,False
three,7,,False
dotenv-cli,7,,False
react-refresh,7,,False
ejs,7,,False
js-cookie,7,,False
postcss-scss,7,,False
file-saver,7,,False
@storybook/builder-webpack5,7,,False
@storybook/manager-api,7,,False
cookie-parser,7,,False
morgan,7,,False
grunt,7,,False
grunt-contrib-watch,7,,False
@reduxjs/toolkit,7,,False
@mui/icons-material,7,,False
@types/hoist-non-react-statics,7,,False
react-native-navigation,7,,False
@react-navigation/native-stack,7,,False
react-native-animatable,7,,False
rollup-plugin-dts,7,,False
svelte-preprocess,7,,False
rollup-plugin-esbuild,7,,False
@ant-design/icons,6,,False
node-notifier,6,,False
simple-git,6,,False
gulp-header,6,,False
warning,6,,False
@babel/polyfill,6,,False
acorn,6,,False
case-sensitive-paths-webpack-plugin,6,,False
jest-serializer-vue,6,,False
markdown-it-anchor,6,,False
markdown-it-container,6,,False
webpackbar,6,,False
@storybook/test,6,,False
cypress-real-events,6,,False
jest-watch-typeahead,6,,False
@custom-elements-manifest/analyzer,6,,False
@tsconfig/react-native,6,,False
@radix-ui/react-accordion,6,,False
@radix-ui/react-avatar,6,,False
@radix-ui/react-icons,6,,False
@radix-ui/react-scroll-area,6,,False
@radix-ui/react-switch,6,,False
react-day-picker,6,,False
@angular-eslint/builder,6,,False
@angular-eslint/eslint-plugin-template,6,,False
@angular-eslint/schematics,6,,False
@angular-eslint/template-parser,6,,False
eslint-plugin-prefer-arrow,6,,False
memoize-one,6,,False
normalize.css,6,,False
@actions/github,6,,False
jest-cli,6,,False
firebase,6,,False
@eslint/eslintrc,6,,False
yorkie,6,,False
@types/prettier,6,,False
eslint-plugin-json,6,,False
i18next,6,,False
@next/mdx,6,,False
np,6,,False
publint,6,,False
@radix-ui/react-select,6,,False
react-syntax-highlighter,6,,False
@storybook/addon-mdx-gfm,6,,False
@types/estree,6,,False
esbuild-register,6,,False
@vercel/speed-insights,6,,False
rollup-plugin-svelte,6,,False
@storybook/components,6,,False
sort-package-json,6,,False
codemirror,6,,False
expo-status-bar,6,,False
colors,6,,False
postcss-html,6,,False
replace-in-file,6,,False
preact,6,,False
@fortawesome/react-fontawesome,6,,False
@pmmmwh/react-refresh-webpack-plugin,6,,False
nock,6,,False
sortablejs,6,,False
react-addons-test-utils,6,,False
obsidian,6,,False
ajv,6,,False
@vue/cli-plugin-unit-jest,6,,False
@vue/eslint-config-standard,6,,False
@types/sinon,6,,False
crypto-js,6,,False
babel-plugin-dynamic-import-node,6,,False
mitt,6,,False
path,6,,False
babel,6,,False
multer,6,,False
invariant,6,,False
object-assign,6,,False
@storybook/manager-webpack5,6,,False
compression,6,,False
jwt-decode,6,,False
@types/enzyme-adapter-react-16,6,,False
@types/webpack-env,6,,False
@react-native-community/netinfo,6,,False
@tanstack/react-query,6,,False
@babel/plugin-proposal-private-property-in-object,6,,False
@size-limit/preset-small-lib,6,,False
@mui/lab,6,,False
eslint-config-satya164,6,,False
@react-native-community/masked-view,6,,False
karma-phantomjs-launcher,6,,False
vuedraggable,6,,False
@babel/preset-flow,6,,False
lolex,6,,False
apexcharts,6,,False
@emotion/cache,6,,False
react-docgen-typescript,5,,False
react-live,5,,False
rc-util,5,,False
@emotion/server,5,,False
@types/jest-axe,5,,False
lz-string,5,,False
pngjs,5,,False
react-draggable,5,,False
@babel/plugin-transform-typescript,5,,False
babel-plugin-import,5,,False
compare-versions,5,,False
escape-html,5,,False
less-plugin-npm-import,5,,False
remark-frontmatter,5,,False
stylelint-config-rational-order,5,,False
@babel/traverse,5,,False
@types/resize-observer-browser,5,,False
eslint-config-google,5,,False
lit,5,,False
@11ty/eleventy,5,,False
change-case,5,,False
@storybook/testing-library,5,,False
@types/lodash.merge,5,,False
@radix-ui/react-separator,5,,False
ts-morph,5,,False
shiki,5,,False
@angular/ssr,5,,False
@schematics/angular,5,,False
eslint-plugin-header,5,,False
@types/react-window,5,,False
debug,5,,False
re-resizable,5,,False
react-intl,5,,False
@types/react-router-dom,5,,False
progress-bar-webpack-plugin,5,,False
postcss-modules,5,,False
moment-timezone,5,,False
postcss-less,5,,False
@babel/plugin-transform-react-jsx,5,,False
autosize,5,,False
@babel/parser,5,,False
babel-plugin-transform-object-rest-spread,5,,False
fastclick,5,,False
inject-loader,5,,False
yarn,5,,False
polished,5,,False
react-i18next,5,,False
@radix-ui/react-progress,5,,False
@radix-ui/react-slider,5,,False
@types/chroma-js,5,,False
@ngx-translate/core,5,,False
@types/marked,5,,False
stylelint-config-recommended-scss,5,,False
@sveltejs/kit,5,,False
@types/react-syntax-highlighter,5,,False
rollup-plugin-cleanup,5,,False
reselect,5,,False
lodash.throttle,5,,False
qrcode.react,5,,False
rollup-plugin-buble,5,,False
@size-limit/preset-big-lib,5,,False
@mdi/js,5,,False
ava,5,,False
md5,5,,False
builtin-modules,5,,False
depcheck,5,,False
markdown-to-jsx,5,,False
karma-coverage-istanbul-reporter,5,,False
react-slick,5,,False
merge-stream,5,,False
@semantic-release/exec,5,,False
jshint,5,,False
prism-react-renderer,5,,False
expo-linear-gradient,5,,False
jest-expo,5,,False
npm,5,,False
axios-mock-adapter,5,,False
microbundle,5,,False
gsap,5,,False
filesize,5,,False
react-bootstrap,5,,False
eslint-import-resolver-alias,5,,False
ncp,5,,False
electron-updater,5,,False
yaml,5,,False
@eslint/compat,5,,False
electron-devtools-installer,5,,False
redux-mock-store,5,,False
element-ui,5,,False
vue-html-loader,5,,False
jsdom-global,5,,False
daisyui,5,,False
prisma,5,,False
google-closure-compiler,5,,False
@sentry/tracing,5,,False
d3-shape,5,,False
unplugin-vue-components,5,,False
pretty-bytes,5,,False
tape,5,,False
react-devtools,5,,False
@storybook/addon-controls,5,,False
@storybook/addons,5,,False
whatwg-fetch,5,,False
@fortawesome/free-brands-svg-icons,5,,False
@storybook/preview-api,5,,False
@types/color,5,,False
@storybook/test-runner,5,,False
socket.io-client,5,,False
@next/bundle-analyzer,5,,False
react-native-device-info,5,,False
detox,5,,False
babel-plugin-macros,5,,False
@react-native-community/blur,5,,False
clang-format,5,,False
eslint-plugin-jest-dom,5,,False
uglify-es,5,,False
react-native-mmkv,5,,False
react-native-splash-screen,5,,False
tsconfig-paths,5,,False
type-fest,5,,False
@types/tinycolor2,5,,False
electron-store,5,,False
prompts,5,,False
@types/jsonwebtoken,5,,False
babel-plugin-lodash,5,,False
@chakra-ui/icons,5,,False
@types/eslint__js,5,,False
@babel/plugin-external-helpers,4,,False
